cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20
2016-09,1.0,,,,,,,,,,,,,,,,,,,
2016-10,262.0,,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,2.0,2.0
2016-12,1.0,1.0,,,,,,,,,,,,,,,,,,
2017-01,717.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,,3.0,1.0,5.0,3.0,1.0,1.0,2.0,3.0,1.0,
2017-02,1628.0,3.0,5.0,2.0,7.0,2.0,4.0,3.0,2.0,3.0,2.0,5.0,2.0,3.0,2.0,1.0,1.0,3.0,,
2017-03,2503.0,11.0,9.0,10.0,9.0,4.0,4.0,8.0,8.0,2.0,9.0,3.0,5.0,3.0,4.0,6.0,2.0,3.0,,
2017-04,2256.0,14.0,5.0,4.0,6.0,6.0,8.0,7.0,7.0,4.0,6.0,2.0,1.0,1.0,2.0,2.0,3.0,,,
2017-05,3451.0,16.0,16.0,10.0,10.0,11.0,14.0,5.0,9.0,9.0,9.0,12.0,8.0,1.0,6.0,7.0,,,,
2017-06,3037.0,15.0,12.0,13.0,9.0,12.0,11.0,7.0,4.0,6.0,9.0,11.0,5.0,5.0,7.0,,,,,
2017-07,3752.0,20.0,13.0,9.0,11.0,8.0,12.0,4.0,7.0,10.0,8.0,11.0,5.0,9.0,,,,,,
2017-08,4057.0,28.0,14.0,11.0,14.0,21.0,12.0,11.0,6.0,6.0,10.0,8.0,5.0,,,,,,,
2017-09,4004.0,28.0,22.0,11.0,18.0,9.0,9.0,10.0,11.0,7.0,10.0,3.0,,,,,,,,
2017-10,4328.0,31.0,11.0,4.0,10.0,9.0,9.0,16.0,12.0,8.0,9.0,,,,,,,,,
2017-11,7060.0,40.0,26.0,12.0,12.0,13.0,8.0,13.0,9.0,4.0,,,,,,,,,,
2017-12,5338.0,11.0,15.0,18.0,14.0,11.0,9.0,1.0,10.0,,,,,,,,,,,
2018-01,6842.0,23.0,25.0,20.0,20.0,11.0,12.0,16.0,,,,,,,,,,,,
2018-02,6288.0,22.0,25.0,19.0,16.0,14.0,13.0,,,,,,,,,,,,,
2018-03,6774.0,27.0,20.0,20.0,8.0,8.0,,,,,,,,,,,,,,
2018-04,6582.0,39.0,20.0,16.0,9.0,,,,,,,,,,,,,,,
2018-05,6506.0,34.0,17.0,12.0,,,,,,,,,,,,,,,,
2018-06,5878.0,25.0,16.0,,,,,,,,,,,,,,,,,
2018-07,5949.0,31.0,,,,,,,,,,,,,,,,,,
2018-08,6144.0,,,,,,,,,,,,,,,,,,,
